,src_port,dst_port,bytes_sent,bytes_received,is_internal_traffic,label,attack_type,hour,day,month,dayofweek,protocol_ICMP,protocol_TCP,protocol_UDP,url_encoded,user_agent_encoded,src_oct1,src_oct2,src_oct3,src_oct4,dst_oct1,dst_oct2,dst_oct3,dst_oct4
9254,0.5301436575424027,0.006688452493662768,-0.032771579040807096,-0.04558295369088374,0,0,0,0.8695652173913043,0.7,1.0,0.0,False,True,False,0,5,0.24015748031496065,0.6588235294117647,0.6980392156862745,0.9802371541501976,0.13385826771653545,0.30196078431372547,0.9607843137254902,0.4901185770750988
1561,0.9951147275697296,0.006688452493662768,-0.06389186205810185,-0.06754350958957536,0,0,0,0.3913043478260869,0.4666666666666667,0.0,0.3333333333333333,False,True,False,20,0,0.42913385826771655,0.27450980392156865,0.23137254901960785,0.4426877470355731,0.452755905511811,0.30196078431372547,0.17254901960784313,0.06324110671936758
1670,0.36364746652825064,0.0007329810951959197,-0.05752904977680225,-0.04981333394145445,0,0,0,0.2608695652173913,0.5,0.0,0.5,False,True,False,6194,0,0.5196850393700787,0.5568627450980392,0.6274509803921569,0.09881422924901184,0.30708661417322836,0.3686274509803922,0.9725490196078431,0.5098814229249011
6087,0.00647298597010824,0.05167516721131234,-0.027408871581259882,-0.06112069210374743,0,0,0,0.17391304347826086,0.8,0.5,0.16666666666666666,False,False,True,0,0,0.5393700787401575,0.6666666666666666,0.5294117647058824,0.8656126482213439,0.7755905511811023,0.13333333333333333,0.1411764705882353,0.5296442687747035
6669,0.6193304123475261,0.006688452493662768,-0.06431699526912159,-0.06548890309907535,1,0,0,0.17391304347826086,0.9666666666666667,0.5,1.0,False,True,False,2677,1,0.8346456692913385,0.5529411764705883,0.8941176470588235,0.9130434782608695,0.25196850393700787,0.0784313725490196,0.8627450980392157,0.19762845849802368
5933,0.6431461154450941,0.021806187582078612,-0.06454263948644072,-0.06582479114890682,0,0,0,0.9130434782608695,0.7333333333333333,0.5,1.0,False,True,False,3145,1,0.3425196850393701,0.1411764705882353,0.6823529411764706,0.9051383399209486,0.1456692913385827,0.592156862745098,0.32156862745098036,0.3557312252964427
8829,0.6769766270247164,0.05167516721131234,-0.04577604488571225,-0.05889254742166191,0,0,0,0.9565217391304348,0.5666666666666667,1.0,0.5,False,True,False,398,9,0.8818897637795275,0.3411764705882353,0.47058823529411764,0.2924901185770751,0.015748031496062992,0.24313725490196078,0.4117647058823529,0.3359683794466403
7945,0.915698517625147,0.00030540878966496657,0.03409225525001271,0.15403310046226265,1,0,0,0.13043478260869565,0.3333333333333333,1.0,0.5,False,True,False,3662,1,0.5275590551181102,0.9372549019607843,0.07450980392156863,0.6798418972332015,0.06692913385826771,0.11764705882352941,0.8274509803921568,0.011857707509881422
3508,0.9842907958414119,0.0002595974712152216,-0.06447171006645828,-0.06568981699989589,0,0,0,0.13043478260869565,0.03333333333333333,0.5,1.0,False,True,False,0,5,0.20866141732283466,0.050980392156862744,0.8274509803921568,0.5573122529644269,0.1377952755905512,0.6627450980392157,0.8274509803921568,0.5059288537549407
2002,0.31636718928904023,0.00030540878966496657,-0.0629719961427046,-0.06612354345403688,0,0,0,0.43478260869565216,0.6,0.0,1.0,False,True,False,2087,1,0.905511811023622,0.3411764705882353,0.6901960784313725,0.6482213438735178,0.05511811023622047,0.32941176470588235,0.3137254901960784,0.6600790513833992
5866,0.8300993847610033,0.00030540878966496657,-0.06319985690439818,-0.06466739377237907,0,0,0,0.43478260869565216,0.7333333333333333,0.5,1.0,False,False,True,591,5,0.452755905511811,0.12156862745098039,0.4784313725490196,0.7707509881422925,0.25196850393700787,0.047058823529411764,0.36470588235294116,0.6007905138339921
168,0.682380959650703,0.00030540878966496657,-0.04559827802688126,-0.060922396749027635,1,0,0,0.6956521739130435,0.03333333333333333,0.0,0.5,False,True,False,0,5,0.9251968503937008,0.047058823529411764,0.8117647058823529,0.9407114624505929,0.9173228346456693,0.2196078431372549,0.792156862745098,0.02766798418972332
2588,0.7020747141352305,0.006688452493662768,-0.038895447838540854,-0.047524724649406346,0,0,0,0.0,0.8,0.0,0.8333333333333333,False,False,True,746,1,0.39763779527559057,0.7568627450980392,0.058823529411764705,0.035573122529644265,0.8937007874015748,0.13725490196078433,0.8745098039215686,0.608695652173913
5905,0.000488527243027037,0.00024432703173197324,-0.06269359816927353,-0.06534321671601591,0,0,0,0.7391304347826086,0.7333333333333333,0.5,1.0,False,True,False,6156,0,0.6181102362204725,0.20784313725490194,0.16078431372549018,0.6758893280632411,0.051181102362204724,0.16862745098039217,0.6901960784313725,0.8260869565217391
9529,0.6080484863288704,0.00030540878966496657,-0.0399106251620395,-0.04651301365593803,0,0,0,0.34782608695652173,0.8,1.0,0.5,False,True,False,4115,0,0.4251968503937008,0.39215686274509803,0.615686274509804,0.7747035573122529,0.48031496062992124,0.2549019607843137,0.6235294117647059,0.5177865612648221
6384,0.7954750164114621,0.006718993372629265,0.3119480619270918,0.6896495638795775,0,0,0,0.7826086956521738,0.8666666666666667,0.5,0.5,False,False,True,0,5,0.6062992125984252,0.10980392156862745,0.48627450980392156,0.4782608695652174,0.547244094488189,0.596078431372549,0.9921568627450981,0.9644268774703557
7824,0.7523777536906707,0.23516476804202424,-0.06280531200574588,-0.0672554695184938,0,0,0,0.0,0.3,1.0,0.3333333333333333,False,True,False,0,0,0.4330708661417323,0.8,0.9803921568627451,0.05138339920948617,0.027559055118110236,0.12549019607843137,0.06666666666666667,0.43873517786561267
9779,0.2133184739630246,0.0002595974712152216,-0.05535993945196432,-0.05611474610806619,0,0,0,0.9130434782608695,0.8666666666666667,1.0,0.8333333333333333,False,True,False,0,1,0.7283464566929134,0.4588235294117647,0.6823529411764706,0.8458498023715415,0.1732283464566929,0.9764705882352941,0.13725490196078433,0.9881422924901185
4629,0.0009007221043310993,0.0011452829612436247,-0.06472661266952016,-0.06752470366757914,0,1,1,0.4782608695652174,0.3666666666666667,0.5,0.3333333333333333,False,True,False,6609,5,0.1062992125984252,0.2196078431372549,0.6392156862745098,0.9644268774703557,0.5511811023622047,0.6705882352941176,0.08627450980392157,0.4268774703557312
8560,0.19528876540005802,0.00030540878966496657,0.6055032090995338,0.8837685756183309,0,1,5,0.5217391304347826,0.5,1.0,0.16666666666666666,False,False,True,6577,0,0.16535433070866143,0.49019607843137253,0.8156862745098039,0.225296442687747,0.16535433070866143,0.9137254901960784,0.6627450980392157,0.05928853754940711
9291,0.17576294215532112,0.00030540878966496657,-0.03842199396015808,-0.06067601536591241,0,0,0,0.30434782608695654,0.7333333333333333,1.0,0.16666666666666666,True,False,False,4129,1,0.9606299212598425,0.4235294117647059,0.49411764705882355,0.9525691699604742,0.7559055118110236,0.03529411764705882,0.9450980392156862,0.6442687747035573
6874,0.6942735447231425,0.00030540878966496657,-0.036412031521405736,-0.022482378039787462,0,0,0,0.08695652173913043,0.03333333333333333,1.0,0.16666666666666666,False,True,False,0,0,0.1062992125984252,0.16470588235294117,0.803921568627451,0.035573122529644265,0.16141732283464566,0.9647058823529412,0.807843137254902,0.21739130434782608
6521,0.5588904324992748,0.0002595974712152216,-0.03544251501202079,-0.031468990207886884,0,0,0,1.0,0.9,0.5,0.6666666666666666,False,False,True,829,5,0.2204724409448819,0.7411764705882353,0.8823529411764706,0.683794466403162,0.09842519685039369,0.8705882352941177,0.27450980392156865,0.4624505928853755
8979,0.5593789597423019,0.021806187582078612,-0.06469425112165318,-0.06597571462416775,0,0,0,0.30434782608695654,0.6333333333333333,1.0,0.8333333333333333,False,True,False,0,1,0.7755905511811023,0.5843137254901961,0.6,0.8300395256916996,0.452755905511811,0.8784313725490196,0.9882352941176471,0.8063241106719368
6647,0.8010472802772393,0.05040772073420273,-0.03297816097650595,-0.03898421751701508,0,0,0,0.0,0.9666666666666667,0.5,1.0,False,True,False,4902,1,0.1889763779527559,0.9294117647058824,0.24313725490196078,0.14624505928853754,0.7322834645669292,0.9176470588235294,0.3058823529411765,0.25296442687747034
9825,0.1770453261682671,0.05046880249213572,-0.05040285961294167,-0.06416296657351804,0,0,0,0.34782608695652173,0.9,1.0,1.0,False,True,False,2297,9,0.20866141732283466,0.7294117647058823,0.3764705882352941,0.38735177865612647,0.6811023622047244,0.9333333333333333,0.611764705882353,0.43873517786561267
210,0.493916309176679,0.00024432703173197324,-0.05964983943427715,-0.06673604519196488,0,0,0,0.17391304347826086,0.06666666666666668,0.0,0.6666666666666666,True,False,False,6161,2,0.051181102362204724,0.5450980392156862,0.7215686274509804,0.42292490118577075,0.14960629921259844,0.2823529411764706,0.2549019607843137,0.8537549407114624
5278,0.9197594003328092,0.006718993372629265,-0.061911601313967154,-0.06546152738984032,0,0,0,0.17391304347826086,0.5666666666666667,0.5,0.16666666666666666,False,True,False,0,0,0.12992125984251968,0.7490196078431373,0.9725490196078431,0.8221343873517786,0.7086614173228346,0.5490196078431373,0.28627450980392155,0.19762845849802368
1919,0.5030914614597805,0.00024432703173197324,-0.009436243175459826,-0.034822395564354694,0,0,0,0.5652173913043478,0.5666666666666667,0.0,0.8333333333333333,False,False,True,5567,1,0.984251968503937,0.1568627450980392,0.6745098039215687,0.9367588932806323,0.8661417322834646,0.16862745098039217,0.6823529411764706,0.43478260869565216
718,0.021556264598568006,0.021806187582078612,0.06493148044062705,-0.04565984372638733,1,0,0,0.043478260869565216,0.23333333333333334,0.0,0.3333333333333333,False,True,False,1558,1,0.3700787401574803,0.996078431372549,0.6352941176470588,0.2727272727272727,0.7637795275590551,0.4156862745098039,0.17254901960784313,0.9209486166007905
4868,0.6965024502694533,0.05167516721131234,3.521929006034564,2.1254029138594244,0,0,0,0.3913043478260869,0.43333333333333335,0.5,0.6666666666666666,False,True,False,0,1,0.40551181102362205,0.2588235294117647,0.9137254901960784,0.7351778656126482,0.9763779527559056,0.03529411764705882,0.38431372549019605,0.06719367588932805
7834,0.0839045539898936,0.05167516721131234,-0.05413241717739325,-0.05664916756226298,0,0,0,0.13043478260869565,0.3,1.0,0.3333333333333333,False,True,False,0,2,0.8976377952755905,0.9529411764705882,0.7843137254901961,0.34782608695652173,0.07480314960629922,0.3529411764705882,0.6784313725490196,0.06324110671936758
1298,0.8642199593911729,0.05167516721131234,0.0846888703767352,0.10301477653328779,0,0,0,0.08695652173913043,0.4,0.0,0.0,False,True,False,1222,5,0.23228346456692914,0.19607843137254902,0.25098039215686274,0.5098814229249011,0.09055118110236221,0.33725490196078434,0.5882352941176471,0.46640316205533594
9193,0.17451109109506435,0.006718993372629265,-0.05261497089864396,-0.03923250329729448,0,0,0,0.34782608695652173,0.7,1.0,0.0,False,True,False,4418,0,0.562992125984252,0.8784313725490196,0.16470588235294117,0.6679841897233202,0.6141732283464567,0.3607843137254902,0.6274509803921569,0.5652173913043478
